                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     88,                0.04425,               0.042157,               0.031267,              0.0041548,                0.81979,                0.64184,                0.70361,                0.36639,                0.70744,                0.59349,                0.61228,                0.29918,               0.036958,               0.038062,               0.025408,              0.0029511,                0.00739,                0.00739,                0.00739
                     89,               0.044191,               0.042009,               0.031063,              0.0041348,                0.71514,                0.64905,                0.68718,                0.36421,                0.73617,                0.55772,                0.60419,                0.27944,               0.036576,               0.037969,                0.02531,              0.0029263,                0.00736,                0.00736,                0.00736
                     90,               0.044162,               0.042027,               0.031299,              0.0041429,                0.76033,                0.66077,                0.69904,                0.37361,                0.69299,                0.55344,                  0.584,                0.27422,               0.036645,                0.03804,               0.025406,              0.0029332,                0.00733,                0.00733,                0.00733
                     91,               0.044089,               0.041402,               0.030711,              0.0040778,                0.75003,                0.66904,                0.70003,                0.37414,                0.67745,                0.57203,                0.59265,                0.28091,               0.036181,               0.037925,               0.025242,              0.0028163,                 0.0073,                 0.0073,                 0.0073
                     92,               0.043919,               0.041819,               0.031202,              0.0041494,                0.77696,                  0.651,                0.69845,                0.37449,                0.70154,                0.56042,                0.60095,                0.28572,               0.036293,               0.037617,               0.025207,              0.0028878,                0.00727,                0.00727,                0.00727
                     93,               0.043998,               0.041861,               0.030954,              0.0040457,                0.81053,                0.65721,                0.71377,                0.37567,                0.63979,                0.60019,                0.59706,                0.27246,               0.035972,               0.037961,               0.025046,              0.0027795,                0.00724,                0.00724,                0.00724
                     94,               0.044072,               0.041999,               0.030838,              0.0040891,                0.76606,                0.66489,                0.70326,                0.37218,                 0.6499,                0.58444,                0.57987,                 0.2638,               0.036289,               0.037511,               0.025215,              0.0028961,                0.00721,                0.00721,                0.00721
                     95,               0.043696,               0.041361,               0.030149,              0.0040795,                0.80354,                0.66677,                0.70013,                0.36589,                0.64253,                0.55359,                0.53939,                 0.2509,                0.03619,               0.037571,               0.025053,              0.0027865,                0.00718,                0.00718,                0.00718
                     96,               0.043599,               0.041614,               0.030343,              0.0039906,                0.81441,                0.65663,                0.70882,                0.37916,                0.67782,                0.57791,                0.58307,                0.27104,               0.036007,               0.037428,                0.02505,              0.0029155,                0.00715,                0.00715,                0.00715
                     97,               0.044104,               0.041982,               0.030947,              0.0041978,                0.79648,                0.67915,                0.71642,                0.38265,                0.68207,                0.59812,                0.60747,                 0.2832,               0.036123,               0.037345,               0.025036,              0.0028713,                0.00712,                0.00712,                0.00712
                     98,               0.043743,               0.041652,               0.030255,              0.0040317,                0.78184,                0.67288,                0.71288,                0.36876,                0.68759,                0.60188,                0.61595,                0.27853,               0.036089,               0.037522,               0.025112,              0.0028138,                0.00709,                0.00709,                0.00709
                     99,               0.043515,               0.041565,               0.030827,              0.0039737,                0.79349,                0.65037,                0.70996,                0.37889,                0.67803,                0.58131,                0.60325,                0.28342,                0.03609,               0.037283,               0.025175,              0.0027726,                0.00706,                0.00706,                0.00706
                    100,               0.043823,               0.041541,               0.030564,              0.0040106,                0.78693,                0.66482,                0.70937,                0.39024,                0.70076,                0.59516,                0.60509,                0.28465,               0.035763,               0.037076,               0.025014,              0.0027174,                0.00703,                0.00703,                0.00703
                    101,               0.043186,               0.041132,                 0.0303,              0.0039674,                0.79273,                0.64422,                0.69752,                0.38802,                 0.7012,                0.58288,                0.60471,                0.27669,               0.035614,               0.037312,               0.025015,              0.0027731,                  0.007,                  0.007,                  0.007
                    102,               0.043488,               0.041605,               0.030511,              0.0041261,                0.77712,                0.66108,                0.70069,                0.38086,                0.64997,                0.57957,                0.57608,                0.27235,               0.035846,               0.037177,               0.024884,              0.0027465,                0.00697,                0.00697,                0.00697
                    103,               0.043193,               0.040933,               0.030256,              0.0040439,                0.80141,                0.66037,                0.71717,                0.38754,                0.68122,                  0.608,                0.62192,                0.29138,               0.035659,               0.037232,               0.024797,              0.0027525,                0.00694,                0.00694,                0.00694
                    104,               0.043433,               0.041604,               0.030489,              0.0040403,                0.79202,                0.67344,                0.71353,                0.38615,                0.66505,                0.61671,                0.61705,                0.27808,               0.035696,               0.037183,               0.024848,                0.00276,                0.00691,                0.00691,                0.00691
                    105,               0.042685,               0.041311,               0.030187,              0.0039165,                0.80829,                 0.6417,                0.70588,                0.38416,                0.68307,                 0.5859,                0.59868,                0.27432,               0.035779,               0.037398,               0.024894,              0.0027157,                0.00688,                0.00688,                0.00688
                    106,               0.043097,               0.041297,               0.030178,              0.0039308,                 0.7893,                 0.6576,                0.70919,                0.38953,                0.71964,                0.60938,                0.63232,                0.29543,               0.035475,               0.037435,               0.024904,              0.0027611,                0.00685,                0.00685,                0.00685
